service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66001,1,1,1,1,1,0,0,20231108,20240131
66002,1,1,1,1,0,0,0,20231108,20240131
66003,0,1,1,1,1,0,0,20231108,20240131
66004,0,1,1,1,1,0,0,20231108,20240131
66005,0,0,0,0,1,0,0,20231108,20240131
66006,0,0,0,0,0,1,0,20231108,20240131
66007,0,0,0,0,0,1,0,20231108,20240131
66008,0,0,0,0,0,0,1,20231108,20240131
66009,0,0,0,0,0,0,1,20231108,20240131
66010,0,0,1,1,1,1,0,20231108,20240131
66011,0,1,1,1,1,1,0,20231108,20240131
66012,0,1,1,1,1,1,0,20231108,20240131
66013,1,0,0,0,0,0,0,20231108,20240131
66014,1,0,0,0,0,0,0,20231108,20240131
66015,1,0,0,0,0,0,0,20231108,20240131
66016,0,1,0,0,0,0,0,20231108,20240131
66017,0,1,0,0,0,0,0,20231108,20240131
66018,1,0,1,1,1,0,0,20231108,20240131
66019,1,0,1,1,1,0,0,20231108,20240131
66020,0,0,1,0,0,0,0,20231108,20240131
66021,0,0,1,0,0,0,0,20231108,20240131
66022,1,1,0,1,1,0,0,20231108,20240131
66023,1,1,0,1,1,0,0,20231108,20240131
66024,0,0,0,1,0,0,0,20231108,20240131
66025,0,0,0,1,0,0,0,20231108,20240131
66026,1,1,1,0,1,0,0,20231108,20240131
66027,1,1,1,0,1,0,0,20231108,20240131
66028,0,1,1,0,0,0,0,20231108,20240131
66029,0,1,1,0,0,0,0,20231108,20240131
66030,1,0,0,1,1,0,0,20231108,20240131
66031,1,0,0,1,1,0,0,20231108,20240131
66032,1,1,0,0,1,0,0,20231108,20240131
66033,1,1,0,0,1,0,0,20231108,20240131
66034,1,1,1,1,1,0,1,20231108,20240131
66035,1,1,1,1,1,0,1,20231108,20240131
66036,1,1,1,1,1,1,0,20231108,20240131
66037,1,1,1,1,1,1,0,20231108,20240131
66038,1,1,1,1,1,1,0,20231108,20240131
66039,1,1,1,1,1,0,0,20231108,20240131
66040,1,1,1,1,0,0,1,20231108,20240131
66041,0,1,1,0,1,0,0,20231108,20240131
66042,0,1,1,0,1,0,0,20231108,20240131
108001,1,1,1,1,1,0,0,20231108,20231112
108002,1,1,1,1,0,0,0,20231108,20231112
108003,0,1,1,1,1,0,0,20231108,20231112
108004,0,1,1,1,1,0,0,20231108,20231112
108005,0,0,0,0,1,0,0,20231108,20231112
108006,0,0,0,0,0,1,0,20231108,20231112
108007,0,0,0,0,0,1,0,20231108,20231112
108008,0,0,0,0,0,0,1,20231108,20231112
108009,0,0,0,0,0,0,1,20231108,20231112
108010,0,0,1,1,1,1,0,20231108,20231112
108011,0,1,1,1,1,1,0,20231108,20231112
108012,0,1,1,1,1,1,0,20231108,20231112
108013,1,0,0,0,0,0,0,20231108,20231112
108014,1,0,0,0,0,0,0,20231108,20231112
108015,1,0,0,0,0,0,0,20231108,20231112
108016,0,1,0,0,0,0,0,20231108,20231112
108017,0,1,0,0,0,0,0,20231108,20231112
108018,1,0,1,1,1,0,0,20231108,20231112
108019,1,0,1,1,1,0,0,20231108,20231112
108020,0,0,1,0,0,0,0,20231108,20231112
108021,0,0,1,0,0,0,0,20231108,20231112
108022,1,1,0,1,1,0,0,20231108,20231112
108023,1,1,0,1,1,0,0,20231108,20231112
108024,0,0,0,1,0,0,0,20231108,20231112
108025,0,0,0,1,0,0,0,20231108,20231112
108026,1,1,1,0,1,0,0,20231108,20231112
108027,1,1,1,0,1,0,0,20231108,20231112
108028,0,1,1,0,0,0,0,20231108,20231112
108029,0,1,1,0,0,0,0,20231108,20231112
108030,1,0,0,1,1,0,0,20231108,20231112
108031,1,0,0,1,1,0,0,20231108,20231112
108032,1,1,0,0,1,0,0,20231108,20231112
108033,1,1,0,0,1,0,0,20231108,20231112
108034,1,1,1,1,1,0,1,20231108,20231112
108035,1,1,1,1,1,0,1,20231108,20231112
108036,1,1,1,1,1,1,0,20231108,20231112
108037,1,1,1,1,1,1,0,20231108,20231112
108038,1,1,1,1,1,1,0,20231108,20231112
108039,1,1,1,1,1,0,0,20231108,20231112
108040,1,1,1,1,0,0,1,20231108,20231112
108041,0,1,1,0,1,0,0,20231108,20231112
108042,0,1,1,0,1,0,0,20231108,20231112
108101,1,1,1,1,1,0,0,20231113,20240131
108102,1,1,1,1,0,0,0,20231113,20240131
108103,0,1,1,1,1,0,0,20231113,20240131
108104,0,1,1,1,1,0,0,20231113,20240131
108105,0,0,0,0,1,0,0,20231113,20240131
108106,0,0,0,0,0,1,0,20231113,20240131
108107,0,0,0,0,0,1,0,20231113,20240131
108108,0,0,0,0,0,0,1,20231113,20240131
108109,0,0,0,0,0,0,1,20231113,20240131
108110,0,0,1,1,1,1,0,20231113,20240131
108111,0,1,1,1,1,1,0,20231113,20240131
108112,0,1,1,1,1,1,0,20231113,20240131
108113,1,0,0,0,0,0,0,20231113,20240131
108114,1,0,0,0,0,0,0,20231113,20240131
108115,1,0,0,0,0,0,0,20231113,20240131
108116,0,1,0,0,0,0,0,20231113,20240131
108117,0,1,0,0,0,0,0,20231113,20240131
108118,1,0,1,1,1,0,0,20231113,20240131
108119,1,0,1,1,1,0,0,20231113,20240131
108120,0,0,1,0,0,0,0,20231113,20240131
108121,0,0,1,0,0,0,0,20231113,20240131
108122,1,1,0,1,1,0,0,20231113,20240131
108123,1,1,0,1,1,0,0,20231113,20240131
108124,0,0,0,1,0,0,0,20231113,20240131
108125,0,0,0,1,0,0,0,20231113,20240131
108126,1,1,1,0,1,0,0,20231113,20240131
108127,1,1,1,0,1,0,0,20231113,20240131
108128,0,1,1,0,0,0,0,20231113,20240131
108129,0,1,1,0,0,0,0,20231113,20240131
108130,1,0,0,1,1,0,0,20231113,20240131
108131,1,0,0,1,1,0,0,20231113,20240131
108132,1,1,0,0,1,0,0,20231113,20240131
108133,1,1,0,0,1,0,0,20231113,20240131
108134,1,1,1,1,1,0,1,20231113,20240131
108135,1,1,1,1,1,0,1,20231113,20240131
108136,1,1,1,1,1,1,0,20231113,20240131
108137,1,1,1,1,1,1,0,20231113,20240131
108138,1,1,1,1,1,1,0,20231113,20240131
108139,1,1,1,1,1,0,0,20231113,20240131
108140,1,1,1,1,0,0,1,20231113,20240131
108141,0,1,1,0,1,0,0,20231113,20240131
108142,0,1,1,0,1,0,0,20231113,20240131
208001,1,1,1,1,1,0,0,20231108,20231112
208101,1,1,1,1,1,0,0,20231113,20240131
