service_id,date,exception_type
66001,20231123,2
66001,20231225,2
66001,20240101,2
66002,20231123,2
66002,20231225,2
66002,20240101,2
66003,20231123,2
66003,20231225,2
66003,20240101,2
66004,20231124,2
66004,20231226,2
66004,20240102,2
66005,20231123,2
66005,20231225,2
66005,20240101,2
66006,20231123,2
66006,20231225,2
66006,20240101,2
66007,20231124,2
66007,20231226,2
66007,20240102,2
66008,20231124,2
66008,20231226,2
66008,20240102,2
66009,20231123,1
66009,20231225,1
66009,20240101,1
66010,20231124,2
66010,20231226,2
66010,20240102,2
66011,20231123,2
66011,20231225,2
66011,20240101,2
66012,20231124,2
66012,20231226,2
66012,20240102,2
66013,20231123,2
66013,20231225,2
66013,20240101,2
66014,20231124,2
66014,20231226,2
66014,20240102,2
66015,20231124,1
66015,20231226,1
66015,20240102,1
66016,20231123,2
66016,20231225,2
66016,20240101,2
66017,20231124,2
66017,20231226,2
66017,20240102,2
66018,20231123,2
66018,20231225,2
66018,20240101,2
66019,20231124,2
66019,20231226,2
66019,20240102,2
66020,20231123,2
66020,20231225,2
66020,20240101,2
66021,20231124,2
66021,20231226,2
66021,20240102,2
66022,20231123,2
66022,20231225,2
66022,20240101,2
66023,20231124,2
66023,20231226,2
66023,20240102,2
66024,20231123,2
66024,20231225,2
66024,20240101,2
66025,20231124,2
66025,20231226,2
66025,20240102,2
66026,20231123,2
66026,20231225,2
66026,20240101,2
66027,20231124,2
66027,20231226,2
66027,20240102,2
66028,20231123,2
66028,20231225,2
66028,20240101,2
66029,20231124,2
66029,20231226,2
66029,20240102,2
66030,20231123,2
66030,20231225,2
66030,20240101,2
66031,20231124,2
66031,20231226,2
66031,20240102,2
66032,20231123,2
66032,20231225,2
66032,20240101,2
66033,20231124,2
66033,20231226,2
66033,20240102,2
66034,20231123,2
66034,20231225,2
66034,20240101,2
66035,20231124,2
66035,20231226,2
66035,20240102,2
66036,20231123,2
66036,20231225,2
66036,20240101,2
66037,20231124,2
66037,20231226,2
66037,20240102,2
66038,20231124,1
66038,20231226,1
66038,20240102,1
66039,20231124,1
66039,20231226,1
66039,20240102,1
66040,20231123,1
66040,20231225,1
66040,20240101,1
66041,20231123,2
66041,20231225,2
66041,20240101,2
66042,20231124,2
66042,20231226,2
66042,20240102,2
108101,20231123,2
108101,20231225,2
108101,20240101,2
108102,20231123,2
108102,20231225,2
108102,20240101,2
108103,20231123,2
108103,20231225,2
108103,20240101,2
108104,20231124,2
108104,20231226,2
108104,20240102,2
108105,20231123,2
108105,20231225,2
108105,20240101,2
108106,20231123,2
108106,20231225,2
108106,20240101,2
108107,20231124,2
108107,20231226,2
108107,20240102,2
108108,20231124,2
108108,20231226,2
108108,20240102,2
108109,20231123,1
108109,20231225,1
108109,20240101,1
108110,20231124,2
108110,20231226,2
108110,20240102,2
108111,20231123,2
108111,20231225,2
108111,20240101,2
108112,20231124,2
108112,20231226,2
108112,20240102,2
108113,20231123,2
108113,20231225,2
108113,20240101,2
108114,20231124,2
108114,20231226,2
108114,20240102,2
108115,20231124,1
108115,20231226,1
108115,20240102,1
108116,20231123,2
108116,20231225,2
108116,20240101,2
108117,20231124,2
108117,20231226,2
108117,20240102,2
108118,20231123,2
108118,20231225,2
108118,20240101,2
108119,20231124,2
108119,20231226,2
108119,20240102,2
108120,20231123,2
108120,20231225,2
108120,20240101,2
108121,20231124,2
108121,20231226,2
108121,20240102,2
108122,20231123,2
108122,20231225,2
108122,20240101,2
108123,20231124,2
108123,20231226,2
108123,20240102,2
108124,20231123,2
108124,20231225,2
108124,20240101,2
108125,20231124,2
108125,20231226,2
108125,20240102,2
108126,20231123,2
108126,20231225,2
108126,20240101,2
108127,20231124,2
108127,20231226,2
108127,20240102,2
108128,20231123,2
108128,20231225,2
108128,20240101,2
108129,20231124,2
108129,20231226,2
108129,20240102,2
108130,20231123,2
108130,20231225,2
108130,20240101,2
108131,20231124,2
108131,20231226,2
108131,20240102,2
108132,20231123,2
108132,20231225,2
108132,20240101,2
108133,20231124,2
108133,20231226,2
108133,20240102,2
108134,20231123,2
108134,20231225,2
108134,20240101,2
108135,20231124,2
108135,20231226,2
108135,20240102,2
108136,20231123,2
108136,20231225,2
108136,20240101,2
108137,20231124,2
108137,20231226,2
108137,20240102,2
108138,20231124,1
108138,20231226,1
108138,20240102,1
108139,20231124,1
108139,20231226,1
108139,20240102,1
108140,20231123,1
108140,20231225,1
108140,20240101,1
108141,20231123,2
108141,20231225,2
108141,20240101,2
108142,20231124,2
108142,20231226,2
108142,20240102,2
208101,20231123,2
208101,20231225,2
208101,20240101,2
