event_time,run_id,headway,deviation,qt2_trackid
2023-10-09 00:00:15,B132,19.1599,-0.125467,11020
2023-10-09 00:11:13,B228,25.267,-11.1373,15020
2023-10-09 00:20:23,B117,20.2653,-0.257433,11020
2023-10-09 00:41:07,B229,29.982,-1.03588,15020
2023-10-09 00:41:46,B133,21.5163,-1.64035,11020
2023-10-09 01:00:01,B118,18.3784,0.114633,11020
2023-10-09 01:00:45,B218,19.7146,-0.667117,15020
2023-10-09 01:13:53,B130,13.2273,16.189,15020
2023-10-09 01:30:30,B226,30.622,-0.373983,11020
2023-10-09 01:32:03,B131,18.244,28.0284,15020
2023-10-09 01:58:36,B227,28.2315,1.52793,11020
2023-10-09 02:00:55,B131,28.9523,-0.840517,15020
2023-10-09 02:30:04,B132,29.2394,0.00353333,15020
2023-10-09 02:30:48,B228,32.3393,-0.67795,11020
2023-10-09 03:01:49,B229,31.1461,-1.69062,11020
2023-10-09 03:02:23,B133,32.3974,-2.3105,15020
2023-10-09 03:20:30,B101,18.2049,-0.432033,15020
2023-10-09 03:37:09,B201,35.4714,-17.0287,11020
2023-10-09 03:39:34,B102,19.1392,0.512183,15020
2023-10-09 03:45:50,B226,6.35617,14.2394,15020
2023-10-09 03:59:35,B130,22.5572,0.547467,11020
2023-10-09 04:00:49,B226,15.0636,-0.7407,15020
2023-10-09 04:15:43,B103,14.9904,-0.647667,15020
2023-10-09 04:17:18,B203,17.8526,-2.17173,11020
2023-10-09 04:30:35,B131,13.4244,-0.462783,11020
2023-10-09 04:31:44,B227,16.092,-1.65627,15020
2023-10-09 04:44:26,B104,12.7887,0.638467,15020
2023-10-09 04:46:42,B204,16.243,-1.57235,11020
2023-10-09 05:00:39,B132,14.0782,-0.517183,11020
2023-10-09 05:01:26,B228,17.0807,-1.35892,15020
2023-10-09 05:15:54,B206,15.3907,-0.774517,11020
2023-10-09 05:16:26,B105,15.0832,-1.35875,15020
2023-10-09 05:30:20,B133,14.5689,-0.2099,11020
2023-10-09 05:30:46,B229,14.4157,-0.691117,15020
2023-10-09 05:40:37,B201,9.93323,-0.54095,15020
2023-10-09 05:42:13,B101,12.008,-0.0845167,11020
2023-10-09 05:45:15,B202,4.71928,4.82317,15020
2023-10-09 05:50:58,B202,5.80617,-0.982983,15020
2023-10-09 05:54:37,B102,12.5478,-0.498883,11020
2023-10-09 06:00:55,B106,9.93592,-0.835533,15020
2023-10-09 06:06:30,B210,12.0023,-0.367867,11020
2023-10-09 06:10:55,B107,10.0855,-0.837633,15020
2023-10-09 06:18:41,B207,12.3292,-0.563617,11020
2023-10-09 06:20:55,B114,10.0883,-0.842583,15020
2023-10-09 06:30:20,B103,11.7766,-0.2068,11020
2023-10-09 06:34:36,B203,13.7583,-4.51747,15020
2023-10-09 06:40:55,B211,10.7234,-0.796717,11020
2023-10-09 06:43:45,B205,9.24918,-6.18328,15020
2023-10-09 06:50:40,B208,9.886,-0.549317,11020
2023-10-09 06:51:07,B115,7.44588,-6.04577,15020
2023-10-09 07:00:41,B209,10.1369,-0.552867,11020
2023-10-09 07:01:06,B117,10.0691,-1.03143,15020
2023-10-09 07:07:18,B118,6.28325,-1.23132,15020
2023-10-09 07:10:17,B104,9.74572,-0.165217,11020
2023-10-09 07:13:12,B204,5.97922,-1.12712,15020
2023-10-09 07:19:42,B108,6.57403,-1.61773,15020
