index,time,runid,short_turned,hdw
741,1970-01-01 03:00:00,R133,False,
61,1970-01-01 03:20:00,R101,False,20.0
119,1970-01-01 03:40:00,R102,False,20.0
1259,1970-01-01 04:00:00,R226,False,20.0
579,1970-01-01 04:15:00,R103,False,15.0
2035,1970-01-01 04:30:00,R227,False,15.0
984,1970-01-01 04:45:00,R104,False,15.0
1031,1970-01-01 05:00:00,R228,False,15.0
1411,1970-01-01 05:15:00,R105,False,15.0
720,1970-01-01 05:30:00,R229,False,15.0
738,1970-01-01 05:40:00,R201,False,10.0
2764,1970-01-01 05:50:00,R202,False,10.0
1114,1970-01-01 06:00:00,R106,False,10.0
2309,1970-01-01 06:10:00,R107,False,10.0
2327,1970-01-01 06:20:00,R114,False,10.0
434,1970-01-01 06:30:00,R203,False,10.0
830,1970-01-01 06:37:30,R205,True,7.0
839,1970-01-01 06:45:00,R115,False,7.0
492,1970-01-01 06:52:30,R116,False,7.0
2405,1970-01-01 07:00:00,R117,True,7.0
1949,1970-01-01 07:06:00,R118,False,6.0
170,1970-01-01 07:12:00,R204,False,6.0
928,1970-01-01 07:18:00,R108,True,6.0
1644,1970-01-01 07:24:00,R119,False,6.0
937,1970-01-01 07:30:00,R109,False,6.0
2045,1970-01-01 07:36:00,R206,False,6.0
953,1970-01-01 07:42:00,R210,True,6.0
1544,1970-01-01 07:48:00,R110,False,6.0
282,1970-01-01 07:54:00,R111,False,6.0
1000,1970-01-01 08:00:00,R112,True,6.0
666,1970-01-01 08:06:00,R101,False,6.0
2024,1970-01-01 08:12:00,R102,False,6.0
1569,1970-01-01 08:18:00,R211,True,6.0
706,1970-01-01 08:24:00,R113,False,6.0
2055,1970-01-01 08:30:00,R208,False,6.0
2624,1970-01-01 08:37:30,R207,False,7.0
2746,1970-01-01 08:45:00,R103,False,7.0
1804,1970-01-01 08:52:30,R205,False,7.0
2298,1970-01-01 09:00:00,R212,False,7.0
2687,1970-01-01 09:07:30,R209,False,7.0
2086,1970-01-01 09:15:00,R117,False,7.0
2338,1970-01-01 09:25:00,R104,False,10.0
